Speaker	GlobalIndex	StartTime	StopTime	Tokens	NGrams	SelfShared	OtherShared	N	OverlapCount	OverlapSeconds	AvgOverlap	DialID	Reality	Level
g	77	1:59:43	1:59:43	5	4	0	0	2	0	0	0	aemt01	9	2
g	78	2:1:57	2:2:5	5	4	0	1	2	0	0	0	aemt01	9	2
f	79	2:2:1	2:2:5	1	0	0	0	2	1	4	4	aemt01	9	2
f	80	2:2:26	2:2:26	3	2	0	1	2	0	0	0	aemt01	9	2
g	81	2:2:46	2:2:53	3	2	0	0	2	0	0	0	aemt01	9	2
g	82	2:3:41	2:3:50	5	4	0	0	2	0	0	0	aemt01	9	2
g	83	2:5:45	2:5:49	1	0	0	0	2	0	0	0	aemt01	9	2
f	84	2:6:28	2:6:32	7	6	0	0	2	0	0	0	aemt01	9	2
g	85	2:9:15	2:9:22	6	5	0	0	2	0	0	0	aemt01	9	2
g	86	2:9:43	2:9:46	4	3	0	0	2	0	0	0	aemt01	9	2
g	87	2:9:44	2:9:48	6	5	0	0	2	0	0	0	aemt01	9	2
g	88	2:9:54	2:10:3	11	10	0	0	2	0	0	0	aemt01	9	2
g	89	2:10:20	2:10:28	6	5	0	0	2	0	0	0	aemt01	9	2
g	90	2:10:49	2:10:49	1	0	0	0	2	0	0	0	aemt01	9	2
g	91	2:11:8	2:11:13	10	9	0	0	2	0	0	0	aemt01	9	2
f	92	2:13:11	2:13:16	2	1	0	0	2	0	0	0	aemt01	9	2
g	93	2:14:10	2:14:16	10	9	0	0	2	0	0	0	aemt01	9	2
g	94	2:17:23	2:17:29	4	3	0	0	2	0	0	0	aemt01	9	2
g	95	2:18:27	2:18:28	3	2	0	0	2	0	0	0	aemt01	9	2
g	96	2:18:27	2:18:34	7	6	0	0	2	0	0	0	aemt01	9	2
f	97	2:19:40	2:19:47	1	0	0	0	2	0	0	0	aemt01	9	2
g	98	2:22:20	2:22:23	1	0	0	0	2	0	0	0	aemt01	9	2
g	99	2:22:26	2:22:33	5	4	0	0	2	0	0	0	aemt01	9	2
g	100	2:26:12	2:26:19	11	10	0	0	2	0	0	0	aemt01	9	2
g	101	2:27:20	2:27:21	3	2	0	0	2	0	0	0	aemt01	9	2
g	102	2:30:1	2:30:9	6	5	0	0	2	0	0	0	aemt01	9	2
f	103	2:31:8	2:31:13	1	0	0	0	2	0	0	0	aemt01	9	2
f	104	2:32:36	2:32:43	1	0	0	0	2	0	0	0	aemt01	9	2
f	105	2:33:4	2:33:5	1	0	0	0	2	0	0	0	aemt01	9	2
g	106	2:33:12	2:33:14	1	0	0	0	2	0	0	0	aemt01	9	2
g	107	2:33:43	2:33:51	6	5	0	0	2	0	0	0	aemt01	9	2
f	108	2:35:34	2:35:40	1	0	0	0	2	0	0	0	aemt01	9	2
f	109	2:35:43	2:35:43	14	13	0	0	2	0	0	0	aemt01	9	2
f	110	2:35:54	2:35:55	1	0	0	0	2	0	0	0	aemt01	9	2
g	111	2:35:58	2:36:5	21	20	0	0	2	0	0	0	aemt01	9	2
f	112	2:38:8	2:38:15	1	0	0	0	2	0	0	0	aemt01	9	2
g	113	2:38:20	2:38:23	2	1	0	0	2	0	0	0	aemt01	9	2
g	114	2:40:34	2:40:43	1	0	0	0	2	0	0	0	aemt01	9	2
g	115	2:41:35	2:41:43	1	0	0	0	2	0	0	0	aemt01	9	2
g	116	2:42:17	2:42:26	12	11	0	0	2	0	0	0	aemt01	9	2
g	117	2:43:7	2:43:10	6	5	0	0	2	0	0	0	aemt01	9	2
g	118	2:43:36	2:43:36	14	13	0	0	2	0	0	0	aemt01	9	2
g	119	2:47:32	2:47:37	8	7	1	0	2	0	0	0	aemt01	9	2
f	120	2:48:4	2:48:12	1	0	0	0	2	0	0	0	aemt01	9	2
f	121	2:48:45	2:48:45	1	0	0	0	2	0	0	0	aemt01	9	2
g	122	2:49:15	2:49:15	5	4	0	0	2	0	0	0	aemt01	9	2
f	123	2:50:15	2:50:16	1	0	0	0	2	0	0	0	aemt01	9	2
