Speaker	GlobalIndex	StartTime	StopTime	Tokens	NGrams	SelfShared	OtherShared	N	OverlapCount	OverlapSeconds	AvgOverlap	Day	Reality
Speaker	GlobalIndex	StartTime	StopTime	Tokens	NGrams	SelfShared	OtherShared	N	OverlapCount	OverlapSeconds	AvgOverlap	Day	Reality
f	0	0:2:48	0:2:51	1	1	0	0	1	0	0	0	1	8
g	1	0:3:13	0:3:21	4	4	0	0	1	0	0	0	1	8
f	2	0:4:10	0:4:16	1	1	0	0	1	0	0	0	1	8
g	3	0:5:22	0:5:30	6	6	1	0	1	0	0	0	1	8
g	4	0:6:13	0:6:22	1	1	0	0	1	0	0	0	1	8
g	5	0:6:37	0:6:39	6	6	0	0	1	0	0	0	1	8
g	6	0:7:2	0:7:11	5	5	1	0	1	0	0	0	1	8
g	7	0:8:30	0:8:37	5	5	0	0	1	0	0	0	1	8
f	8	0:9:3	0:9:12	5	5	0	0	1	0	0	0	1	8
f	9	0:9:17	0:9:23	1	1	0	0	1	0	0	0	1	8
g	10	0:11:4	0:11:10	5	5	0	0	1	0	0	0	1	8
f	11	0:11:15	0:11:17	1	1	0	0	1	0	0	0	1	8
g	12	0:13:4	0:13:13	1	1	0	0	1	0	0	0	1	8
g	13	0:14:45	0:14:48	15	15	0	0	1	0	0	0	1	8
f	14	0:15:52	0:16:0	1	1	0	1	1	0	0	0	1	8
g	15	0:16:1	0:16:1	14	14	3	0	1	0	0	0	1	8
g	16	0:16:12	0:16:21	5	5	3	0	1	0	0	0	1	8
g	17	0:20:54	0:21:3	4	4	0	0	1	0	0	0	1	8
g	18	0:21:15	0:21:16	15	15	0	1	1	0	0	0	1	8
f	19	0:21:16	0:21:22	10	10	0	3	1	1	0	0	1	8
g	20	0:22:6	0:22:12	1	1	0	0	1	0	0	0	1	8
g	21	0:24:48	0:24:54	5	5	0	2	1	0	0	0	1	8
g	22	0:25:20	0:25:25	14	14	3	3	1	0	0	0	1	8
f	23	0:28:47	0:28:49	2	2	1	1	1	0	0	0	1	8
g	24	0:30:13	0:30:21	10	10	5	0	1	0	0	0	1	8
g	25	0:33:12	0:33:14	9	9	2	0	1	0	0	0	1	8
f	26	0:33:43	0:33:46	1	1	0	0	1	0	0	0	1	8
g	27	0:33:44	0:33:48	7	7	3	0	1	1	2	2	1	8
g	28	0:34:32	0:34:37	11	11	1	0	1	0	0	0	1	8
f	29	0:37:48	0:37:51	1	1	1	0	1	0	0	0	1	8
g	30	0:40:17	0:40:22	21	21	4	0	1	0	0	0	1	8
g	31	0:40:52	0:40:57	9	9	3	0	1	0	0	0	1	8
f	32	0:40:58	0:40:59	1	1	0	0	1	0	0	0	1	8
f	33	0:41:6	0:41:6	4	4	0	1	1	0	0	0	1	8
g	34	0:41:49	0:41:50	1	1	0	0	1	0	0	0	1	8
g	35	0:42:44	0:42:44	1	1	0	1	1	0	0	0	1	8
g	36	0:43:40	0:43:46	1	1	1	1	1	0	0	0	1	8
g	37	0:45:21	0:45:30	12	12	0	1	1	0	0	0	1	8
g	38	0:46:3	0:46:5	8	8	3	1	1	0	0	0	1	8
f	39	0:46:14	0:46:22	2	2	1	2	1	0	0	0	1	8
f	40	0:46:54	0:46:59	1	1	0	0	1	0	0	0	1	8
g	41	0:48:5	0:48:7	3	3	1	0	1	0	0	0	1	8
g	42	0:48:4	0:48:12	9	9	2	0	1	0	0	0	1	8
g	43	0:48:59	0:49:8	1	1	0	0	1	0	0	0	1	8
g	44	0:50:22	0:50:24	4	4	0	0	1	0	0	0	1	8
g	45	0:51:43	0:51:49	9	9	1	0	1	0	0	0	1	8
f	46	0:52:11	0:52:12	17	17	0	6	1	0	0	0	1	8
g	47	0:53:9	0:53:9	6	6	1	1	1	0	0	0	1	8
g	48	0:53:13	0:53:19	8	8	0	1	1	0	0	0	1	8
f	49	0:58:35	0:58:35	5	5	1	0	1	0	0	0	1	8
f	50	0:59:43	0:59:43	6	6	1	1	1	0	0	0	1	8
g	51	1:0:16	1:0:24	3	3	0	1	1	0	0	0	1	8
f	52	1:0:51	1:0:54	4	4	1	0	1	0	0	0	1	8
g	53	1:4:3	1:4:11	16	16	0	3	1	0	0	0	1	8
f	54	1:4:28	1:4:34	10	10	2	4	1	0	0	0	1	8
f	55	1:4:27	1:4:36	1	1	0	0	1	0	0	0	1	8
g	56	1:4:50	1:4:58	10	10	4	0	1	0	0	0	1	8
f	57	1:4:56	1:4:58	2	2	0	0	1	1	2	2	1	8
g	58	1:6:41	1:6:42	1	1	0	0	1	0	0	0	1	8
g	59	1:8:21	1:8:24	8	8	0	0	1	0	0	0	1	8
g	60	1:9:21	1:9:29	3	3	0	0	1	0	0	0	1	8
g	61	1:10:40	1:10:45	4	4	0	0	1	0	0	0	1	8
f	62	1:12:42	1:12:50	1	1	0	0	1	0	0	0	1	8
g	63	1:15:5	1:15:6	8	8	0	0	1	0	0	0	1	8
g	64	1:15:19	1:15:28	1	1	0	0	1	0	0	0	1	8
g	65	1:17:16	1:17:18	1	1	0	0	1	0	0	0	1	8
g	66	1:17:40	1:17:46	9	9	0	0	1	0	0	0	1	8
g	67	1:17:48	1:17:55	1	1	0	0	1	0	0	0	1	8
f	68	1:17:55	1:18:0	11	11	0	0	1	1	0	0	1	8
g	69	1:18:43	1:18:50	10	10	0	3	1	0	0	0	1	8
f	70	1:19:18	1:19:20	1	1	0	0	1	0	0	0	1	8
g	71	1:20:33	1:20:33	11	11	5	0	1	0	0	0	1	8
f	73	1:24:4	1:24:12	2	2	0	0	1	0	0	0	1	8
g	72	1:24:10	1:24:12	1	1	0	0	1	1	2	2	1	8
g	74	1:27:49	1:27:49	7	7	0	0	1	0	0	0	1	8
